transaccion_id,customer_id,date_id,product_id,amount,transaction_type,balance_before,balance_after,channel,timestamp,is_fraud
1,164,13,2,2415.5,Transfer,4464.21,6879.71,Online,2024-01-13 21:47:00,0
2,23,217,10,-4682.17,Payment,4372.76,-309.40999999999985,Online,2024-08-04 17:12:00,0
3,180,215,9,-2795.59,Withdrawal,16188.61,13393.02,Online,2024-08-02 05:44:00,0
4,72,111,3,4572.13,Transfer,2044.21,6616.34,Branch,2024-04-20 03:22:00,0
5,155,23,5,2297.32,Transfer,19462.32,21759.64,Branch,2024-01-23 02:35:00,0
6,161,186,10,773.52,Payment,916.49,1690.01,,2024-07-04 09:05:00,0
7,26,143,7,-465.9,Withdrawal,3253.08,2787.18,ATM,2024-05-22 06:42:00,0
8,175,312,2,1349.78,Withdrawal,3268.05,4617.83,Branch,2024-11-07 08:59:00,0
9,143,351,4,-1757.17,Transfer,4580.96,2823.79,Online,2024-12-16 10:25:00,0
10,55,162,10,-2873.73,Deposit,7912.64,5038.91,Branch,2024-06-10 04:16:00,0
11,191,276,9,-2372.58,Transfer,17956.46,15583.88,Branch,2024-10-02 11:14:00,1
12,36,253,9,-4090.91,Transfer,17222.06,13131.15,,2024-09-09 20:10:00,0
13,109,33,10,-1152.33,Transfer,10582.29,9429.96,Online,2024-02-02 21:46:00,0
14,138,329,5,-1598.25,Transfer,8695.31,7097.06,Branch,2024-11-24 00:46:00,0
15,68,92,9,76.82,Payment,17410.37,17487.19,ATM,2024-04-01 20:32:00,0
16,40,83,6,393.79,Withdrawal,11978.89,12372.68,Branch,2024-03-23 00:07:00,0
17,79,30,4,-2591.28,Payment,1713.07,-878.2100000000003,Branch,2024-01-30 02:48:00,0
18,33,338,3,-247.18,Payment,5301.13,5053.95,Branch,2024-12-03 06:59:00,0
19,187,160,4,-1010.08,Payment,8762.0,7751.92,Branch,2024-06-08 03:15:00,0
20,87,302,1,539.22,Transfer,143.82,683.04,Online,2024-10-28 07:04:00,0
21,85,264,2,-2619.95,Deposit,4284.74,1664.79,,2024-09-20 23:59:00,0
22,148,125,8,2846.19,Withdrawal,3808.2,6654.389999999999,Online,2024-05-04 21:27:00,0
23,106,28,8,1733.65,Deposit,1212.25,2945.9,ATM,2024-01-28 03:15:00,0
24,138,72,8,-781.18,Payment,9252.56,8471.38,Online,2024-03-12 14:51:00,0
25,141,26,2,1521.45,Payment,19379.93,20901.38,,2024-01-26 05:26:00,0
26,55,31,7,-3353.63,Deposit,19706.18,16352.55,ATM,2024-01-31 14:18:00,0
27,188,339,9,2184.08,Deposit,3797.96,5982.04,,2024-12-04 01:37:00,0
28,16,30,6,-4498.58,Deposit,10057.01,5558.43,,2024-01-30 01:32:00,0
29,48,305,2,-4320.39,Payment,8075.51,3755.12,,2024-10-31 18:38:00,0
30,21,337,7,836.72,Payment,18694.13,19530.85,,2024-12-02 21:45:00,0
31,68,68,7,1716.9,Withdrawal,9144.49,10861.39,Online,2024-03-08 00:29:00,0
32,145,38,2,376.34,Withdrawal,2649.13,3025.4700000000003,ATM,2024-02-07 02:56:00,0
33,73,225,3,3337.45,Payment,12233.56,15571.009999999998,Online,2024-08-12 21:52:00,0
34,170,69,2,-2355.34,Deposit,14848.33,12492.99,,2024-03-09 08:18:00,0
35,184,105,6,1874.97,Deposit,10108.18,11983.15,ATM,2024-04-14 01:05:00,0
36,71,2,1,-1664.43,Withdrawal,12742.27,11077.84,ATM,2024-01-02 05:47:00,0
37,181,288,7,-4903.3,Payment,18901.02,13997.72,,2024-10-14 17:02:00,0
38,150,76,9,-702.13,Withdrawal,6165.17,5463.04,Online,2024-03-16 11:13:00,0
39,171,182,2,2801.16,Withdrawal,19476.74,22277.9,,2024-06-30 07:55:00,0
40,46,13,7,-3206.39,Transfer,15647.73,12441.34,Branch,2024-01-13 21:55:00,0
41,64,82,5,2873.75,Transfer,7650.83,10524.58,Online,2024-03-22 15:14:00,0
42,118,157,6,3205.36,Transfer,4458.47,7663.83,,2024-06-05 12:21:00,0
43,18,180,5,1414.82,Deposit,13590.36,15005.18,ATM,2024-06-28 00:07:00,0
44,67,298,3,4625.34,Payment,765.14,5390.4800000000005,Branch,2024-10-24 11:46:00,0
45,112,262,10,-3843.54,Payment,5094.45,1250.91,Branch,2024-09-18 00:33:00,0
46,138,187,4,-687.03,Payment,12463.11,11776.08,Online,2024-07-05 23:57:00,0
47,80,168,7,-976.0,Payment,11088.25,10112.25,,2024-06-16 13:42:00,0
48,174,316,3,691.05,Transfer,10958.74,11649.79,Online,2024-11-11 09:18:00,0
49,149,336,10,-1777.51,Deposit,8843.2,7065.6900000000005,,2024-12-01 16:30:00,0
50,189,338,3,-4152.04,Deposit,1867.74,-2284.3,,2024-12-03 21:19:00,0
51,51,13,3,-4537.86,Transfer,12225.48,7687.62,Online,2024-01-13 14:26:00,0
52,148,357,4,-1160.22,Deposit,4879.69,3719.4699999999993,Online,2024-12-22 03:49:00,0
53,46,238,9,-4497.82,Transfer,18349.4,13851.580000000002,Online,2024-08-25 14:08:00,0
54,171,287,9,954.52,Payment,12253.05,13207.57,Branch,2024-10-13 17:28:00,0
55,191,231,8,-2408.08,Transfer,16797.26,14389.179999999998,ATM,2024-08-18 16:31:00,0
56,71,40,8,2135.45,Payment,5434.3,7569.75,ATM,2024-02-09 17:05:00,0
57,60,356,7,-3471.95,Payment,1284.58,-2187.37,Branch,2024-12-21 10:34:00,0
58,16,216,4,-1105.23,Withdrawal,17134.64,16029.41,Branch,2024-08-03 15:00:00,0
59,77,215,7,382.21,Transfer,9764.59,10146.8,ATM,2024-08-02 13:31:00,0
60,87,85,7,3405.06,Withdrawal,19614.44,23019.5,Online,2024-03-25 12:37:00,0
61,7,330,2,-713.87,Transfer,3634.58,2920.71,ATM,2024-11-25 12:20:00,0
62,84,195,6,-2217.43,Transfer,5045.43,2828.0000000000005,Online,2024-07-13 15:01:00,0
63,14,115,6,1501.44,Withdrawal,15084.66,16586.1,,2024-04-24 06:53:00,0
64,40,65,4,-264.39,Withdrawal,11279.39,11015.0,,2024-03-05 14:44:00,0
65,95,311,3,1072.47,Transfer,15555.84,16628.31,,2024-11-06 09:06:00,0
66,80,347,10,4080.26,Deposit,7933.09,12013.35,,2024-12-12 02:37:00,0
67,161,53,4,1971.93,Payment,17005.86,18977.79,Online,2024-02-22 18:50:00,0
68,137,339,7,-1294.29,Withdrawal,253.04,-1041.25,Branch,2024-12-04 15:06:00,0
69,93,363,8,-3470.09,Payment,14675.91,11205.82,ATM,2024-12-28 19:51:00,0
70,199,239,8,-644.26,Deposit,6446.09,5801.83,,2024-08-26 02:17:00,0
71,63,292,8,1103.32,Deposit,6727.93,7831.25,Branch,2024-10-18 10:11:00,0
72,91,175,5,-2203.42,Deposit,11115.82,8912.4,,2024-06-23 02:15:00,0
73,126,124,9,1906.09,Withdrawal,8963.49,10869.58,Online,2024-05-03 02:18:00,0
74,178,157,4,1639.6,Deposit,9465.21,11104.81,ATM,2024-06-05 13:47:00,0
75,91,139,8,-1933.77,Withdrawal,2413.12,479.3499999999999,,2024-05-18 10:07:00,0
76,196,99,3,-2836.15,Deposit,5529.99,2693.84,ATM,2024-04-08 03:53:00,0
77,59,92,6,-1977.32,Payment,5486.23,3508.91,Online,2024-04-01 17:18:00,0
78,33,53,8,3727.2,Payment,9387.94,13115.14,Branch,2024-02-22 10:11:00,0
79,65,59,8,3221.16,Transfer,9834.93,13056.09,Online,2024-02-28 04:09:00,0
80,78,128,2,-3815.48,Payment,12126.35,8310.87,,2024-05-07 16:24:00,0
81,114,302,5,4900.31,Transfer,11372.59,16272.9,Online,2024-10-28 19:47:00,0
82,196,321,4,-2889.75,Payment,3141.14,251.38999999999987,,2024-11-16 17:04:00,0
83,105,353,8,938.11,Withdrawal,652.8,1590.91,ATM,2024-12-18 22:18:00,0
84,117,352,2,-2665.76,Payment,15756.56,13090.8,,2024-12-17 13:07:00,0
85,166,137,3,3266.31,Transfer,1192.76,4459.07,ATM,2024-05-16 19:47:00,0
86,74,64,8,-313.02,Transfer,13994.67,13681.65,ATM,2024-03-04 16:34:00,0
